TOKEN, LEXEME
SINGLE_LINE_COMMENT, ~~Identifiers
IDENTIFIER, kimAudreyMagan
IDENTIFIER, Mapag_mahal_25
IDENTIFIER, kim
SINGLE_LINE_COMMENT, ~~Keywords
NULL_LITERAL, nothing
IF_STMT, if
ELIF_STMT, elif
ELSE_STMT, else
WHILE_LOOP, repeat
FOR_LOOP, repeatfor
LOOP_SKIP_STMT, continue
FUNCTION_DECLR, function
RETURN_STMT, give
FUNC_MODFR, static
AND_OP, and
OR_OP, or
NOT_OP, not
DISPLAY_FUNC, display
GET_FUNC, get
EXCEPTION_STMT, onfail
INCLUDE_RSRV, include
MULTILINE_COMMENT, ~Noise words\r\nthen \r\nstart\r\nend \r\nso\r\n\r\n~
IDENTIFIER, Reserved
IDENTIFIER, words
NUMBER_TYPE, number
DECIMAL_TYPE, decimal
SYMBOL_TYPE, symbol
BOOLEAN_TYPE, truefalse
STRING_TYPE, text
LIST_TYPE, list
BOOL_LITERAL, true
BOOL_LITERAL, false
TRY_RSRV, try
BUNDLE_RSRV, bundle
VOID_RSRV, void
IN_RSRV, in
SINGLE_LINE_COMMENT, ~~Constants
NUM_LITERAL, 10
TEXT_LITERAL, "Hello, World!"
LETTER_LITERAL, 'a'
DECIMAL_LITERAL, 90.1
MULTILINE_COMMENT, ~This is a multiline comment :)~
STATEMENT_TERMINATOR, ;
LIST_SEPARATOR, ,
ASSIGNMENT_OP, =
LEFT_PARENTHESIS, (
RIGHT_PARENTHESIS, )
LEFT_SQUARE_BRACKET, [
RIGHT_SQUARE_BRACKET, ]
LEFT_CURLY_BRACE, {
RIGHT_CURLY_BRACE, }
TEXT_LITERAL, ""
KEY_VALUE_SEPARATOR, :
SINGLE_LINE_COMMENT, ~~Arithmetic op
ADD_OP, +
SUBTRACT_OP, -
MULTIPLY_OP, *
DIVIDE_OP, /
FLOORDIV_OP, //
EXPONENT_OP, ^
MODULO_OP, %
SINGLE_LINE_COMMENT, ~~Boolean op
NOT_OP, not
OR_OP, or
AND_OP, and
NOT_OP, !
SINGLE_LINE_COMMENT, ~~unary op 
PRE_INCREMENT_OP, ++
IDENTIFIER, num
IDENTIFIER, num
POST_INCREMENT_OP, ++
PRE_DECREMENT_OP, --
IDENTIFIER, num
IDENTIFIER, num
POST_DECREMENT_OP, --
SINGLE_LINE_COMMENT, ~~invalid
SPECIAL_CHAR, @
IDENTIFIER, kimAu
INVALID_CHAR, Ã
INVALID_CHAR, €
IDENTIFIER, kim
NUMBER_TYPE, number
IDENTIFIER, my_number
ASSIGNMENT_OP, =
DECIMAL_LITERAL, 3.14156
STATEMENT_TERMINATOR, ;
STRING_TYPE, text
IDENTIFIER, my_text
ASSIGNMENT_OP, =
GET_FUNC, get
LEFT_PARENTHESIS, (
RIGHT_PARENTHESIS, )
STATEMENT_TERMINATOR, ;
IDENTIFIER, x
POST_DECREMENT_OP, --
PRE_DECREMENT_OP, --
IDENTIFIER, x
ADD_OP, +
IDENTIFIER, x
